timestamp_ms,tilt_setting_deg,lux,temp_c,voltage_v,current_ma,power_w,power_corrected_w,temp_correction_pct,tilt_measured_deg,cumulative_wh,system_time
0,36,54612.5,33.56,0.52,38.4,0.02,0.0193,-0.0342,6.07,0.000167,2026-06-23 09:45:17
30000,36,54612.5,33.63,0.52,38.5,0.02,0.0193,-0.0345,6.2,0.000333,2026-06-23 09:45:19
60000,36,54612.5,33.69,0.53,38.1,0.02,0.0193,-0.0348,6.59,0.0005,2026-06-23 09:45:20
90000,36,54612.5,33.69,0.52,38.6,0.02,0.0193,-0.0348,6.53,0.000667,2026-06-23 09:45:22
120000,36,54612.5,33.75,0.53,38.4,0.02,0.0193,-0.035,6.52,0.000833,2026-06-23 09:45:23
150000,36,54612.5,33.75,0.53,38.8,0.02,0.0193,-0.035,7.63,0.001,2026-06-23 09:45:25
180000,36,54612.5,33.81,0.56,40.6,0.022,0.0212,-0.0352,6.22,0.001183,2026-06-23 09:45:26
210000,36,54612.5,33.81,0.55,40.3,0.022,0.0212,-0.0352,4.72,0.001367,2026-06-23 09:45:28
240000,36,54612.5,33.88,0.45,33.3,0.016,0.0154,-0.0355,5.08,0.0015,2026-06-23 09:45:29
270000,36,54612.5,33.94,0.42,31.0,0.014,0.0135,-0.0358,4.56,0.001617,2026-06-23 09:45:31
300000,36,54612.5,33.94,0.43,31.2,0.014,0.0135,-0.0358,5.17,0.001733,2026-06-23 09:45:32
330000,36,54612.5,33.94,0.43,31.3,0.014,0.0135,-0.0358,5.72,0.00185,2026-06-23 09:45:34
360000,36,54612.5,33.94,0.43,31.2,0.014,0.0135,-0.0358,5.73,0.001967,2026-06-23 09:45:35
390000,36,54612.5,34.0,0.43,31.5,0.014,0.0135,-0.036,5.82,0.002083,2026-06-23 09:45:37
420000,36,54612.5,34.0,0.43,31.4,0.014,0.0135,-0.036,5.87,0.0022,2026-06-23 09:45:38
450000,36,54612.5,34.06,0.43,31.5,0.014,0.0135,-0.0362,5.72,0.002317,2026-06-23 09:45:40
480000,36,54612.5,34.06,0.43,31.6,0.014,0.0135,-0.0362,5.36,0.002433,2026-06-23 09:45:41
510000,36,54612.5,34.13,0.43,31.7,0.014,0.0135,-0.0365,5.83,0.00255,2026-06-23 09:45:43
540000,36,54612.5,34.13,0.44,31.7,0.014,0.0135,-0.0365,5.55,0.002667,2026-06-23 09:45:44
570000,36,54612.5,34.13,0.43,32.1,0.014,0.0135,-0.0365,6.03,0.002783,2026-06-23 09:45:46
600000,36,54612.5,34.19,0.44,31.9,0.014,0.0135,-0.0368,5.78,0.0029,2026-06-23 09:45:47
630000,36,54612.5,34.25,0.44,31.8,0.014,0.0135,-0.037,5.66,0.003017,2026-06-23 09:45:49
660000,36,54612.5,34.25,0.44,32.3,0.014,0.0135,-0.037,5.7,0.003133,2026-06-23 09:45:50
690000,36,54612.5,34.31,0.44,32.2,0.014,0.0135,-0.0372,6.31,0.00325,2026-06-23 09:45:52
720000,36,54612.5,34.38,0.44,32.2,0.014,0.0135,-0.0375,5.6,0.003367,2026-06-23 09:45:53
750000,36,54612.5,34.38,0.44,32.1,0.014,0.0135,-0.0375,5.66,0.003483,2026-06-23 09:45:55
780000,36,54612.5,34.38,0.44,31.6,0.014,0.0135,-0.0375,5.34,0.0036,2026-06-23 09:45:56
810000,36,54612.5,34.44,0.44,31.7,0.014,0.0135,-0.0378,5.84,0.003717,2026-06-23 09:45:58
840000,36,54612.5,34.5,0.44,32.0,0.014,0.0135,-0.038,5.78,0.003833,2026-06-23 09:45:59
870000,36,54612.5,34.5,0.44,32.2,0.014,0.0135,-0.038,5.11,0.00395,2026-06-23 09:46:01
900000,36,54612.5,34.56,0.45,32.8,0.014,0.0135,-0.0382,19.17,0.004067,2026-06-23 09:46:02
930000,36,54612.5,34.63,0.21,16.3,0.004,0.0038,-0.0385,55.79,0.0041,2026-06-23 09:46:04
960000,36,54612.5,34.63,0.35,26.4,0.01,0.0096,-0.0385,7.67,0.004183,2026-06-23 09:46:05
990000,36,54612.5,34.69,0.32,23.3,0.006,0.0058,-0.0388,39.55,0.004233,2026-06-23 09:46:07
1020000,36,54612.5,34.69,0.34,24.9,0.01,0.0096,-0.0388,30.61,0.004317,2026-06-23 09:46:08
1050000,36,54612.5,34.75,0.36,27.6,0.01,0.0096,-0.039,8.5,0.0044,2026-06-23 09:46:10
1080000,36,54612.5,34.81,0.42,31.2,0.014,0.0135,-0.0392,7.69,0.004517,2026-06-23 09:46:11
1110000,36,54612.5,34.88,0.42,31.2,0.014,0.0134,-0.0395,6.98,0.004633,2026-06-23 09:46:13
1140000,36,54612.5,34.88,0.42,30.9,0.014,0.0134,-0.0395,7.31,0.00475,2026-06-23 09:46:15
1170000,36,54612.5,34.94,0.42,30.7,0.014,0.0134,-0.0398,7.75,0.004867,2026-06-23 09:46:16
1200000,36,54612.5,34.94,0.42,30.9,0.014,0.0134,-0.0398,7.57,0.004983,2026-06-23 09:46:18
1230000,36,54612.5,35.06,0.42,30.9,0.014,0.0134,-0.0402,7.67,0.0051,2026-06-23 09:46:19
1260000,36,54612.5,35.06,0.42,30.8,0.014,0.0134,-0.0402,7.69,0.005217,2026-06-23 09:46:21
1290000,36,54612.5,35.06,0.42,30.8,0.014,0.0134,-0.0402,7.74,0.005333,2026-06-23 09:46:22
1320000,36,54612.5,35.13,0.42,30.9,0.014,0.0134,-0.0405,8.11,0.00545,2026-06-23 09:46:24
1350000,36,54612.5,35.13,0.42,30.7,0.014,0.0134,-0.0405,7.53,0.005567,2026-06-23 09:46:25
1380000,36,54612.5,35.19,0.42,30.5,0.014,0.0134,-0.0408,7.85,0.005683,2026-06-23 09:46:27
1410000,36,54612.5,35.19,0.42,30.4,0.014,0.0134,-0.0408,7.48,0.0058,2026-06-23 09:46:28
1440000,36,54612.5,35.25,0.42,30.4,0.014,0.0134,-0.041,8.08,0.005917,2026-06-23 09:46:30
1470000,36,54612.5,35.31,0.41,30.6,0.014,0.0134,-0.0412,7.9,0.006033,2026-06-23 09:46:31
1500000,36,54612.5,35.31,0.41,30.5,0.014,0.0134,-0.0412,7.54,0.00615,2026-06-23 09:46:33
1530000,36,54612.5,35.31,0.41,30.2,0.014,0.0134,-0.0412,7.04,0.006267,2026-06-23 09:46:34
1560000,36,54612.5,35.38,0.41,30.2,0.014,0.0134,-0.0415,7.1,0.006383,2026-06-23 09:46:36
1590000,36,54612.5,35.38,0.41,30.4,0.014,0.0134,-0.0415,7.48,0.0065,2026-06-23 09:46:37
1620000,36,54612.5,35.38,0.41,30.2,0.014,0.0134,-0.0415,7.69,0.006617,2026-06-23 09:46:39
1650000,36,54612.5,35.38,0.41,30.0,0.014,0.0134,-0.0415,7.9,0.006733,2026-06-23 09:46:40
1680000,36,54612.5,35.44,0.4,29.8,0.014,0.0134,-0.0418,1.6,0.00685,2026-06-23 09:46:42
1710000,36,53601.66,35.5,0.27,20.5,0.006,0.0057,-0.042,33.57,0.0069,2026-06-23 09:46:43
1740000,36,53825.0,35.56,0.26,19.4,0.006,0.0057,-0.0422,29.15,0.00695,2026-06-23 09:46:45
1770000,36,53913.33,35.56,0.19,15.0,0.004,0.0038,-0.0422,18.74,0.006983,2026-06-23 09:46:46
1800000,36,54081.66,35.56,0.2,14.8,0.004,0.0038,-0.0422,169.86,0.007017,2026-06-23 09:46:48
1830000,36,54056.66,35.63,0.18,14.3,0.004,0.0038,-0.0425,29.98,0.00705,2026-06-23 09:46:49
1860000,36,54136.66,35.63,0.18,13.6,0.004,0.0038,-0.0425,94.4,0.007083,2026-06-23 09:46:51
1890000,36,54098.33,35.69,0.18,14.4,0.004,0.0038,-0.0428,9.92,0.007117,2026-06-23 09:46:52
1920000,36,53929.16,35.69,0.18,14.1,0.004,0.0038,-0.0428,13.09,0.00715,2026-06-23 09:46:54
1950000,36,53635.83,35.69,0.16,12.9,0.004,0.0038,-0.0428,7.89,0.007183,2026-06-23 09:46:55
1980000,36,53080.83,35.69,0.41,30.2,0.014,0.0134,-0.0428,5.41,0.0073,2026-06-23 09:46:57
2010000,36,52920.0,35.75,0.4,29.5,0.014,0.0134,-0.043,5.07,0.007417,2026-06-23 09:46:58
2040000,36,52855.0,35.75,0.4,29.8,0.014,0.0134,-0.043,5.85,0.007533,2026-06-23 09:47:00
2070000,36,52690.83,35.75,0.4,29.9,0.014,0.0134,-0.043,5.96,0.00765,2026-06-23 09:47:01
2100000,36,52764.16,35.75,0.4,29.5,0.014,0.0134,-0.043,5.9,0.007767,2026-06-23 09:47:03
2130000,36,52749.16,35.81,0.4,29.8,0.014,0.0134,-0.0432,6.04,0.007883,2026-06-23 09:47:04
2160000,36,54125.0,35.88,0.36,26.6,0.01,0.0096,-0.0435,33.95,0.007967,2026-06-23 09:47:06
2190000,36,54612.5,35.88,0.44,32.5,0.014,0.0134,-0.0435,9.61,0.008083,2026-06-23 09:47:07
2220000,36,53228.33,35.88,0.55,40.1,0.022,0.021,-0.0435,7.59,0.008267,2026-06-23 09:47:09
2250000,36,52643.33,35.94,0.56,40.4,0.022,0.021,-0.0438,28.65,0.00845,2026-06-23 09:47:10
2280000,36,54612.5,36.0,0.54,39.5,0.022,0.021,-0.044,31.76,0.008633,2026-06-23 09:47:12
2310000,36,54612.5,35.94,0.39,28.7,0.01,0.0096,-0.0438,6.84,0.008717,2026-06-23 09:47:13
2340000,36,53839.16,36.06,0.51,37.2,0.02,0.0191,-0.0442,38.29,0.008883,2026-06-23 09:47:15
2370000,36,52232.5,36.06,0.44,32.4,0.014,0.0134,-0.0442,9.14,0.009,2026-06-23 09:47:16
2400000,36,51370.83,36.06,0.44,31.9,0.014,0.0134,-0.0442,7.63,0.009117,2026-06-23 09:47:18
2430000,36,51262.5,36.13,0.4,29.7,0.014,0.0134,-0.0445,2.01,0.009233,2026-06-23 09:47:20
2460000,36,51281.66,36.13,0.5,36.1,0.016,0.0153,-0.0445,6.44,0.009367,2026-06-23 09:47:21
2490000,36,50593.33,36.13,0.47,34.3,0.016,0.0153,-0.0445,10.39,0.0095,2026-06-23 09:47:23
2520000,36,50554.16,36.19,0.47,34.3,0.016,0.0153,-0.0448,10.77,0.009633,2026-06-23 09:47:24
2550000,36,50642.5,36.19,0.47,34.3,0.016,0.0153,-0.0448,10.41,0.009767,2026-06-23 09:47:26
2580000,36,50613.33,36.19,0.47,34.4,0.016,0.0153,-0.0448,10.17,0.0099,2026-06-23 09:47:27
2610000,36,53541.66,36.25,0.47,34.3,0.016,0.0153,-0.045,2.74,0.010033,2026-06-23 09:47:29
2640000,36,47610.0,36.31,0.4,29.3,0.014,0.0134,-0.0452,3.56,0.01015,2026-06-23 09:47:30
2670000,36,44225.83,36.31,0.43,31.0,0.014,0.0134,-0.0452,9.67,0.010267,2026-06-23 09:47:32
2700000,36,45616.66,36.38,0.44,32.0,0.014,0.0134,-0.0455,2.01,0.010383,2026-06-23 09:47:33
2730000,36,45063.33,36.38,0.47,34.3,0.016,0.0153,-0.0455,3.69,0.010517,2026-06-23 09:47:35
2760000,36,45026.66,36.38,0.47,34.2,0.016,0.0153,-0.0455,4.13,0.01065,2026-06-23 09:47:36
2790000,36,44938.33,36.44,0.47,34.1,0.016,0.0153,-0.0458,4.18,0.010783,2026-06-23 09:47:38
2820000,36,44851.66,36.44,0.47,34.1,0.016,0.0153,-0.0458,4.45,0.010917,2026-06-23 09:47:39
2850000,36,44800.83,36.5,0.47,34.3,0.016,0.0153,-0.046,4.33,0.01105,2026-06-23 09:47:41
2880000,36,44670.0,36.5,0.47,33.9,0.016,0.0153,-0.046,4.5,0.011183,2026-06-23 09:47:42
2910000,36,44425.83,36.5,0.46,34.0,0.016,0.0153,-0.046,5.04,0.011317,2026-06-23 09:47:44
2940000,36,44215.0,36.5,0.46,33.7,0.016,0.0153,-0.046,4.83,0.01145,2026-06-23 09:47:45
2970000,36,44108.33,36.56,0.46,33.6,0.016,0.0153,-0.0462,5.13,0.011583,2026-06-23 09:47:47
3000000,36,54612.5,36.56,0.46,33.7,0.016,0.0153,-0.0462,3.73,0.011717,2026-06-23 09:47:48
3030000,36,10266.67,36.56,0.46,33.3,0.016,0.0153,-0.0462,5.31,0.01185,2026-06-23 09:47:50
3060000,36,26025.0,36.63,0.45,33.0,0.016,0.0153,-0.0465,5.33,0.011983,2026-06-23 09:47:51
3090000,36,46012.5,36.69,0.45,33.0,0.016,0.0153,-0.0468,5.65,0.012117,2026-06-23 09:47:53
3120000,36,48867.5,36.63,0.45,33.2,0.016,0.0153,-0.0465,5.51,0.01225,2026-06-23 09:47:54
3150000,36,51189.16,36.69,0.45,32.7,0.016,0.0153,-0.0468,5.28,0.012383,2026-06-23 09:47:56
3180000,36,37856.66,36.75,0.45,33.2,0.016,0.0152,-0.047,5.31,0.012517,2026-06-23 09:47:57
3210000,36,45768.33,36.75,0.45,32.8,0.014,0.0133,-0.047,4.93,0.012633,2026-06-23 09:47:59
3240000,36,52691.66,36.75,0.45,32.6,0.014,0.0133,-0.047,4.67,0.01275,2026-06-23 09:48:00
3270000,36,54083.33,36.81,0.43,31.5,0.014,0.0133,-0.0472,10.0,0.012867,2026-06-23 09:48:02
